REF_DATE,GEO,North American Industry Classification System (NAICS),UOM,VALUES
2001-07,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],656.66
2001-07,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],588.87
2001-07,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],526.60
2001-07,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],574.60
2001-07,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],583.77
2001-07,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],622.76
2001-07,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],696.41
2001-07,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],587.49
2001-07,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],592.59
2001-07,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],674.60
2001-07,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],658.77
2001-07,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],711.45
2001-07,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],874.51
2001-07,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],860.36
2001-08,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],659.75
2001-08,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],595.60
